Tx de succes : 0.729 pour k = 10 en 9.226 sec.Coefs : 1, 1, 3, 4, 1, 10
Tx de succes : 0.728 pour k = 10 en 9.196 sec.Coefs : 1, 1, 3, 4, 1, 20
Tx de succes : 0.728 pour k = 10 en 9.258 sec.Coefs : 1, 1, 3, 4, 2, 10
Tx de succes : 0.732 pour k = 10 en 9.197 sec.Coefs : 1, 1, 3, 4, 2, 20
Tx de succes : 0.726 pour k = 10 en 9.235 sec.Coefs : 1, 1, 3, 4, 3, 10
Tx de succes : 0.729 pour k = 10 en 9.231 sec.Coefs : 1, 1, 3, 4, 3, 20
Tx de succes : 0.729 pour k = 10 en 9.229 sec.Coefs : 1, 1, 3, 5, 1, 10
Tx de succes : 0.729 pour k = 10 en 9.198 sec.Coefs : 1, 1, 3, 5, 1, 20
Tx de succes : 0.729 pour k = 10 en 9.242 sec.Coefs : 1, 1, 3, 5, 2, 10
Tx de succes : 0.732 pour k = 10 en 9.214 sec.Coefs : 1, 1, 3, 5, 2, 20
Tx de succes : 0.727 pour k = 10 en 9.235 sec.Coefs : 1, 1, 3, 5, 3, 10
Tx de succes : 0.729 pour k = 10 en 9.261 sec.Coefs : 1, 1, 3, 5, 3, 20
Tx de succes : 0.729 pour k = 10 en 9.216 sec.Coefs : 1, 1, 4, 1, 1, 10
Tx de succes : 0.729 pour k = 10 en 9.187 sec.Coefs : 1, 1, 4, 1, 1, 20
Tx de succes : 0.73 pour k = 10 en 9.222 sec.Coefs : 1, 1, 4, 1, 2, 10
Tx de succes : 0.734 pour k = 10 en 9.201 sec.Coefs : 1, 1, 4, 1, 2, 20
Tx de succes : 0.725 pour k = 10 en 9.212 sec.Coefs : 1, 1, 4, 1, 3, 10
Tx de succes : 0.732 pour k = 10 en 9.206 sec.Coefs : 1, 1, 4, 1, 3, 20
Tx de succes : 0.727 pour k = 10 en 9.25 sec.Coefs : 1, 1, 4, 2, 1, 10
Tx de succes : 0.729 pour k = 10 en 9.221 sec.Coefs : 1, 1, 4, 2, 1, 20
Tx de succes : 0.727 pour k = 10 en 9.249 sec.Coefs : 1, 1, 4, 2, 2, 10
Tx de succes : 0.733 pour k = 10 en 9.207 sec.Coefs : 1, 1, 4, 2, 2, 20
Tx de succes : 0.727 pour k = 10 en 9.25 sec.Coefs : 1, 1, 4, 2, 3, 10
Tx de succes : 0.733 pour k = 10 en 9.235 sec.Coefs : 1, 1, 4, 2, 3, 20
Tx de succes : 0.729 pour k = 10 en 9.262 sec.Coefs : 1, 1, 4, 3, 1, 10
Tx de succes : 0.728 pour k = 10 en 9.256 sec.Coefs : 1, 1, 4, 3, 1, 20
Tx de succes : 0.728 pour k = 10 en 9.283 sec.Coefs : 1, 1, 4, 3, 2, 10
